,0
936,"{'label': 'NEGATIVE', 'score': 0.9981198906898499}"
937,"{'label': 'NEGATIVE', 'score': 0.9970006346702576}"
938,"{'label': 'NEGATIVE', 'score': 0.9971305727958679}"
939,"{'label': 'NEGATIVE', 'score': 0.8398481011390686}"
940,"{'label': 'POSITIVE', 'score': 0.9992045760154724}"
941,"{'label': 'NEGATIVE', 'score': 0.998837411403656}"
942,"{'label': 'NEGATIVE', 'score': 0.9953638315200806}"
943,"{'label': 'POSITIVE', 'score': 0.9998007416725159}"
944,"{'label': 'NEGATIVE', 'score': 0.9997367262840271}"
945,"{'label': 'POSITIVE', 'score': 0.9846401214599609}"
946,"{'label': 'NEGATIVE', 'score': 0.9988283514976501}"
947,"{'label': 'POSITIVE', 'score': 0.9998427629470825}"
948,"{'label': 'POSITIVE', 'score': 0.9858834147453308}"
949,"{'label': 'POSITIVE', 'score': 0.9998629093170166}"
950,"{'label': 'NEGATIVE', 'score': 0.9820871353149414}"
951,"{'label': 'POSITIVE', 'score': 0.8661456108093262}"
952,"{'label': 'NEGATIVE', 'score': 0.9939119815826416}"
953,"{'label': 'NEGATIVE', 'score': 0.9970899820327759}"
954,"{'label': 'NEGATIVE', 'score': 0.9992144107818604}"
955,"{'label': 'NEGATIVE', 'score': 0.9929366707801819}"
956,"{'label': 'NEGATIVE', 'score': 0.9926307201385498}"
957,"{'label': 'POSITIVE', 'score': 0.9998594522476196}"
958,"{'label': 'NEGATIVE', 'score': 0.9988119602203369}"
959,"{'label': 'POSITIVE', 'score': 0.9943228960037231}"
960,"{'label': 'NEGATIVE', 'score': 0.9754199981689453}"
961,"{'label': 'NEGATIVE', 'score': 0.9929177761077881}"
962,"{'label': 'NEGATIVE', 'score': 0.9972676038742065}"
963,"{'label': 'POSITIVE', 'score': 0.9130892753601074}"
964,"{'label': 'NEGATIVE', 'score': 0.558997392654419}"
965,"{'label': 'NEGATIVE', 'score': 0.9916980266571045}"
966,"{'label': 'NEGATIVE', 'score': 0.9988161325454712}"
967,"{'label': 'NEGATIVE', 'score': 0.9818088412284851}"
968,"{'label': 'NEGATIVE', 'score': 0.9993630051612854}"
969,"{'label': 'NEGATIVE', 'score': 0.9977654218673706}"
970,"{'label': 'POSITIVE', 'score': 0.9998007416725159}"
971,"{'label': 'NEGATIVE', 'score': 0.9651650190353394}"
972,"{'label': 'NEGATIVE', 'score': 0.9534919857978821}"
973,"{'label': 'NEGATIVE', 'score': 0.9986170530319214}"
974,"{'label': 'NEGATIVE', 'score': 0.9665506482124329}"
975,"{'label': 'NEGATIVE', 'score': 0.9716845154762268}"
976,"{'label': 'NEGATIVE', 'score': 0.9970065951347351}"
977,"{'label': 'NEGATIVE', 'score': 0.9435454607009888}"
978,"{'label': 'NEGATIVE', 'score': 0.9995098114013672}"
979,"{'label': 'POSITIVE', 'score': 0.7905769944190979}"
980,"{'label': 'POSITIVE', 'score': 0.5742424130439758}"
981,"{'label': 'NEGATIVE', 'score': 0.922503650188446}"
982,"{'label': 'NEGATIVE', 'score': 0.9665506482124329}"
983,"{'label': 'NEGATIVE', 'score': 0.9934890270233154}"
984,"{'label': 'NEGATIVE', 'score': 0.9898867011070251}"
985,"{'label': 'NEGATIVE', 'score': 0.9778510928153992}"
986,"{'label': 'NEGATIVE', 'score': 0.9970006346702576}"
987,"{'label': 'NEGATIVE', 'score': 0.9932237863540649}"
988,"{'label': 'POSITIVE', 'score': 0.9995871186256409}"
989,"{'label': 'POSITIVE', 'score': 0.9964377880096436}"
990,"{'label': 'NEGATIVE', 'score': 0.9665506482124329}"
991,"{'label': 'NEGATIVE', 'score': 0.9973064661026001}"
992,"{'label': 'NEGATIVE', 'score': 0.9947899580001831}"
993,"{'label': 'NEGATIVE', 'score': 0.9985449314117432}"
994,"{'label': 'POSITIVE', 'score': 0.9784910678863525}"
995,"{'label': 'POSITIVE', 'score': 0.9659661054611206}"
996,"{'label': 'POSITIVE', 'score': 0.9659661054611206}"
997,"{'label': 'POSITIVE', 'score': 0.9549677968025208}"
998,"{'label': 'POSITIVE', 'score': 0.9659661054611206}"
999,"{'label': 'NEGATIVE', 'score': 0.9357236623764038}"
1000,"{'label': 'NEGATIVE', 'score': 0.9880933165550232}"
1001,"{'label': 'NEGATIVE', 'score': 0.9973467588424683}"
1002,"{'label': 'NEGATIVE', 'score': 0.998879611492157}"
1003,"{'label': 'NEGATIVE', 'score': 0.9917064905166626}"
1004,"{'label': 'NEGATIVE', 'score': 0.9983524084091187}"
1005,"{'label': 'NEGATIVE', 'score': 0.9949429631233215}"
1006,"{'label': 'POSITIVE', 'score': 0.9659661054611206}"
1007,"{'label': 'NEGATIVE', 'score': 0.9706907868385315}"
1008,"{'label': 'NEGATIVE', 'score': 0.9868208765983582}"
1009,"{'label': 'POSITIVE', 'score': 0.9969415068626404}"
1010,"{'label': 'POSITIVE', 'score': 0.792499303817749}"
1011,"{'label': 'POSITIVE', 'score': 0.9659661054611206}"
1012,"{'label': 'NEGATIVE', 'score': 0.9988683462142944}"
1013,"{'label': 'NEGATIVE', 'score': 0.7615953683853149}"
1014,"{'label': 'NEGATIVE', 'score': 0.9803926348686218}"
1015,"{'label': 'NEGATIVE', 'score': 0.9991031885147095}"
1016,"{'label': 'POSITIVE', 'score': 0.992542028427124}"
1017,"{'label': 'POSITIVE', 'score': 0.9998117089271545}"
1018,"{'label': 'NEGATIVE', 'score': 0.995792031288147}"
1019,"{'label': 'NEGATIVE', 'score': 0.9430298805236816}"
1020,"{'label': 'POSITIVE', 'score': 0.9998397827148438}"
1021,"{'label': 'POSITIVE', 'score': 0.9997835755348206}"
1022,"{'label': 'NEGATIVE', 'score': 0.9794681668281555}"
1023,"{'label': 'NEGATIVE', 'score': 0.9992287158966064}"
1024,"{'label': 'POSITIVE', 'score': 0.9958541393280029}"
1025,"{'label': 'NEGATIVE', 'score': 0.9989150762557983}"
1026,"{'label': 'NEGATIVE', 'score': 0.9993374943733215}"
1027,"{'label': 'NEGATIVE', 'score': 0.9975550770759583}"
1028,"{'label': 'NEGATIVE', 'score': 0.9988640546798706}"
1029,"{'label': 'NEGATIVE', 'score': 0.993540346622467}"
1030,"{'label': 'NEGATIVE', 'score': 0.9992437362670898}"
1031,"{'label': 'NEGATIVE', 'score': 0.9777243733406067}"
1032,"{'label': 'NEGATIVE', 'score': 0.9958827495574951}"
1033,"{'label': 'NEGATIVE', 'score': 0.941638708114624}"
1034,"{'label': 'NEGATIVE', 'score': 0.9977450370788574}"
1035,"{'label': 'POSITIVE', 'score': 0.999786913394928}"
1036,"{'label': 'NEGATIVE', 'score': 0.6524473428726196}"
1037,"{'label': 'NEGATIVE', 'score': 0.9987381100654602}"
1038,"{'label': 'NEGATIVE', 'score': 0.9982206225395203}"
1039,"{'label': 'POSITIVE', 'score': 0.7337621450424194}"
1040,"{'label': 'NEGATIVE', 'score': 0.9959793090820312}"
1041,"{'label': 'NEGATIVE', 'score': 0.9664515256881714}"
1042,"{'label': 'NEGATIVE', 'score': 0.9996044039726257}"
1043,"{'label': 'POSITIVE', 'score': 0.9998588562011719}"
1044,"{'label': 'NEGATIVE', 'score': 0.9997108578681946}"
1045,"{'label': 'NEGATIVE', 'score': 0.953658401966095}"
1046,"{'label': 'NEGATIVE', 'score': 0.9818088412284851}"
1047,"{'label': 'POSITIVE', 'score': 0.8539051413536072}"
1048,"{'label': 'POSITIVE', 'score': 0.9993091821670532}"
1049,"{'label': 'NEGATIVE', 'score': 0.9980297684669495}"
1050,"{'label': 'POSITIVE', 'score': 0.9998575448989868}"
1051,"{'label': 'NEGATIVE', 'score': 0.9707141518592834}"
1052,"{'label': 'NEGATIVE', 'score': 0.9938873648643494}"
1053,"{'label': 'NEGATIVE', 'score': 0.9989424347877502}"
1054,"{'label': 'NEGATIVE', 'score': 0.9965289235115051}"
1055,"{'label': 'POSITIVE', 'score': 0.9998632669448853}"
1056,"{'label': 'NEGATIVE', 'score': 0.9986057877540588}"
1057,"{'label': 'POSITIVE', 'score': 0.873979926109314}"
1058,"{'label': 'NEGATIVE', 'score': 0.9983240962028503}"
1059,"{'label': 'NEGATIVE', 'score': 0.9950373768806458}"
1060,"{'label': 'NEGATIVE', 'score': 0.9990241527557373}"
1061,"{'label': 'NEGATIVE', 'score': 0.9933330416679382}"
1062,"{'label': 'POSITIVE', 'score': 0.9998507499694824}"
1063,"{'label': 'POSITIVE', 'score': 0.999786913394928}"
1064,"{'label': 'NEGATIVE', 'score': 0.9990241527557373}"
1065,"{'label': 'NEGATIVE', 'score': 0.9900345206260681}"
1066,"{'label': 'NEGATIVE', 'score': 0.9990241527557373}"
1067,"{'label': 'NEGATIVE', 'score': 0.9904432892799377}"
1068,"{'label': 'NEGATIVE', 'score': 0.9808525443077087}"
1069,"{'label': 'POSITIVE', 'score': 0.9970282912254333}"
1070,"{'label': 'NEGATIVE', 'score': 0.9981263279914856}"
1071,"{'label': 'POSITIVE', 'score': 0.6570376753807068}"
1072,"{'label': 'NEGATIVE', 'score': 0.9991913437843323}"
1073,"{'label': 'NEGATIVE', 'score': 0.9986617565155029}"
1074,"{'label': 'NEGATIVE', 'score': 0.9950560331344604}"
1075,"{'label': 'NEGATIVE', 'score': 0.9653146862983704}"
1076,"{'label': 'POSITIVE', 'score': 0.9950746893882751}"
1077,"{'label': 'NEGATIVE', 'score': 0.9653146862983704}"
1078,"{'label': 'NEGATIVE', 'score': 0.9992254972457886}"
1079,"{'label': 'NEGATIVE', 'score': 0.9987456798553467}"
1080,"{'label': 'NEGATIVE', 'score': 0.9980148077011108}"
1081,"{'label': 'NEGATIVE', 'score': 0.9993189573287964}"
1082,"{'label': 'NEGATIVE', 'score': 0.9995174407958984}"
1083,"{'label': 'NEGATIVE', 'score': 0.9899955987930298}"
1084,"{'label': 'NEGATIVE', 'score': 0.9989221096038818}"
1085,"{'label': 'NEGATIVE', 'score': 0.9653146862983704}"
1086,"{'label': 'NEGATIVE', 'score': 0.9991357922554016}"
1087,"{'label': 'NEGATIVE', 'score': 0.996630847454071}"
1088,"{'label': 'NEGATIVE', 'score': 0.8105047941207886}"
1089,"{'label': 'NEGATIVE', 'score': 0.9952985644340515}"
1090,"{'label': 'POSITIVE', 'score': 0.9987585544586182}"
1091,"{'label': 'NEGATIVE', 'score': 0.9977074861526489}"
1092,"{'label': 'NEGATIVE', 'score': 0.9967281818389893}"
1093,"{'label': 'NEGATIVE', 'score': 0.9989778995513916}"
1094,"{'label': 'NEGATIVE', 'score': 0.999671220779419}"
1095,"{'label': 'NEGATIVE', 'score': 0.9899197816848755}"
1096,"{'label': 'POSITIVE', 'score': 0.9728261828422546}"
1097,"{'label': 'NEGATIVE', 'score': 0.9979299306869507}"
1098,"{'label': 'NEGATIVE', 'score': 0.9949355721473694}"
1099,"{'label': 'NEGATIVE', 'score': 0.9901622533798218}"
1100,"{'label': 'NEGATIVE', 'score': 0.9985241293907166}"
1101,"{'label': 'NEGATIVE', 'score': 0.938737154006958}"
1102,"{'label': 'NEGATIVE', 'score': 0.9977670907974243}"
1103,"{'label': 'NEGATIVE', 'score': 0.9943094253540039}"
1104,"{'label': 'NEGATIVE', 'score': 0.9989404082298279}"
1105,"{'label': 'NEGATIVE', 'score': 0.9992287158966064}"
1106,"{'label': 'NEGATIVE', 'score': 0.9986584186553955}"
1107,"{'label': 'NEGATIVE', 'score': 0.9876657724380493}"
1108,"{'label': 'POSITIVE', 'score': 0.8117622137069702}"
1109,"{'label': 'NEGATIVE', 'score': 0.9972544312477112}"
1110,"{'label': 'POSITIVE', 'score': 0.9864099621772766}"
1111,"{'label': 'NEGATIVE', 'score': 0.9992287158966064}"
1112,"{'label': 'NEGATIVE', 'score': 0.9691897630691528}"
1113,"{'label': 'NEGATIVE', 'score': 0.9866946935653687}"
1114,"{'label': 'POSITIVE', 'score': 0.999256432056427}"
1115,"{'label': 'POSITIVE', 'score': 0.9615636467933655}"
1116,"{'label': 'NEGATIVE', 'score': 0.9545953869819641}"
1117,"{'label': 'NEGATIVE', 'score': 0.9876657724380493}"
1118,"{'label': 'NEGATIVE', 'score': 0.9989926218986511}"
1119,"{'label': 'NEGATIVE', 'score': 0.9986359477043152}"
1120,"{'label': 'POSITIVE', 'score': 0.9975641965866089}"
1121,"{'label': 'NEGATIVE', 'score': 0.991001546382904}"
1122,"{'label': 'NEGATIVE', 'score': 0.9990758895874023}"
1123,"{'label': 'NEGATIVE', 'score': 0.9941624999046326}"
1124,"{'label': 'NEGATIVE', 'score': 0.9941624999046326}"
1125,"{'label': 'NEGATIVE', 'score': 0.9941624999046326}"
1126,"{'label': 'NEGATIVE', 'score': 0.9991468191146851}"
1127,"{'label': 'NEGATIVE', 'score': 0.8585615158081055}"
1128,"{'label': 'NEGATIVE', 'score': 0.9941624999046326}"
1129,"{'label': 'POSITIVE', 'score': 0.9925280809402466}"
1130,"{'label': 'NEGATIVE', 'score': 0.9879676699638367}"
1131,"{'label': 'POSITIVE', 'score': 0.9992483258247375}"
1132,"{'label': 'POSITIVE', 'score': 0.9772374033927917}"
1133,"{'label': 'POSITIVE', 'score': 0.9988400340080261}"
1134,"{'label': 'NEGATIVE', 'score': 0.9993829727172852}"
1135,"{'label': 'NEGATIVE', 'score': 0.9973588585853577}"
1136,"{'label': 'NEGATIVE', 'score': 0.9987636804580688}"
1137,"{'label': 'NEGATIVE', 'score': 0.9808443784713745}"
1138,"{'label': 'NEGATIVE', 'score': 0.9994907379150391}"
1139,"{'label': 'POSITIVE', 'score': 0.5881199836730957}"
1140,"{'label': 'NEGATIVE', 'score': 0.9884053468704224}"
1141,"{'label': 'NEGATIVE', 'score': 0.9886736273765564}"
1142,"{'label': 'NEGATIVE', 'score': 0.9761566519737244}"
1143,"{'label': 'NEGATIVE', 'score': 0.9823326468467712}"
1144,"{'label': 'NEGATIVE', 'score': 0.9261156320571899}"
1145,"{'label': 'POSITIVE', 'score': 0.9769216179847717}"
1146,"{'label': 'NEGATIVE', 'score': 0.9989209175109863}"
1147,"{'label': 'POSITIVE', 'score': 0.9990027546882629}"
1148,"{'label': 'NEGATIVE', 'score': 0.7587733268737793}"
1149,"{'label': 'NEGATIVE', 'score': 0.9994743466377258}"
1150,"{'label': 'POSITIVE', 'score': 0.9954745173454285}"
1151,"{'label': 'NEGATIVE', 'score': 0.9889602661132812}"
1152,"{'label': 'POSITIVE', 'score': 0.9916530251502991}"
1153,"{'label': 'NEGATIVE', 'score': 0.9492781758308411}"
1154,"{'label': 'NEGATIVE', 'score': 0.9977080821990967}"
1155,"{'label': 'NEGATIVE', 'score': 0.9942157864570618}"
1156,"{'label': 'NEGATIVE', 'score': 0.9994503855705261}"
1157,"{'label': 'NEGATIVE', 'score': 0.9994691014289856}"
1158,"{'label': 'POSITIVE', 'score': 0.9988943934440613}"
1159,"{'label': 'NEGATIVE', 'score': 0.9871542453765869}"
1160,"{'label': 'NEGATIVE', 'score': 0.9952417612075806}"
1161,"{'label': 'NEGATIVE', 'score': 0.9924373030662537}"
1162,"{'label': 'POSITIVE', 'score': 0.9998635053634644}"
1163,"{'label': 'POSITIVE', 'score': 0.990149974822998}"
1164,"{'label': 'POSITIVE', 'score': 0.9925496578216553}"
1165,"{'label': 'NEGATIVE', 'score': 0.9964045286178589}"
1166,"{'label': 'POSITIVE', 'score': 0.880402684211731}"
1167,"{'label': 'NEGATIVE', 'score': 0.9827006459236145}"
1168,"{'label': 'NEGATIVE', 'score': 0.9984985589981079}"
1169,"{'label': 'POSITIVE', 'score': 0.9642841815948486}"
1170,"{'label': 'NEGATIVE', 'score': 0.9987278580665588}"
1171,"{'label': 'NEGATIVE', 'score': 0.9912962913513184}"
1172,"{'label': 'POSITIVE', 'score': 0.979414165019989}"
1173,"{'label': 'POSITIVE', 'score': 0.9147798418998718}"
1174,"{'label': 'NEGATIVE', 'score': 0.9957934617996216}"
1175,"{'label': 'NEGATIVE', 'score': 0.99817955493927}"
1176,"{'label': 'POSITIVE', 'score': 0.9951712489128113}"
1177,"{'label': 'POSITIVE', 'score': 0.9987024068832397}"
1178,"{'label': 'NEGATIVE', 'score': 0.9991804957389832}"
1179,"{'label': 'NEGATIVE', 'score': 0.9914173483848572}"
1180,"{'label': 'POSITIVE', 'score': 0.9716379642486572}"
1181,"{'label': 'NEGATIVE', 'score': 0.9980801343917847}"
1182,"{'label': 'NEGATIVE', 'score': 0.9968620538711548}"
1183,"{'label': 'POSITIVE', 'score': 0.973727285861969}"
1184,"{'label': 'NEGATIVE', 'score': 0.9980869293212891}"
1185,"{'label': 'NEGATIVE', 'score': 0.9995296001434326}"
1186,"{'label': 'NEGATIVE', 'score': 0.9773882627487183}"
1187,"{'label': 'NEGATIVE', 'score': 0.9991273283958435}"
1188,"{'label': 'NEGATIVE', 'score': 0.917803168296814}"
1189,"{'label': 'POSITIVE', 'score': 0.9998327493667603}"
1190,"{'label': 'NEGATIVE', 'score': 0.8980681896209717}"
1191,"{'label': 'POSITIVE', 'score': 0.9998630285263062}"
1192,"{'label': 'POSITIVE', 'score': 0.9997195601463318}"
1193,"{'label': 'NEGATIVE', 'score': 0.9911772012710571}"
1194,"{'label': 'NEGATIVE', 'score': 0.9959438443183899}"
1195,"{'label': 'NEGATIVE', 'score': 0.9940594434738159}"
1196,"{'label': 'NEGATIVE', 'score': 0.9896453619003296}"
1197,"{'label': 'NEGATIVE', 'score': 0.7084030508995056}"
1198,"{'label': 'NEGATIVE', 'score': 0.9963011741638184}"
1199,"{'label': 'NEGATIVE', 'score': 0.9961646795272827}"
1200,"{'label': 'NEGATIVE', 'score': 0.999675989151001}"
1201,"{'label': 'NEGATIVE', 'score': 0.9985974431037903}"
1202,"{'label': 'NEGATIVE', 'score': 0.9960197806358337}"
1203,"{'label': 'POSITIVE', 'score': 0.7972636222839355}"
1204,"{'label': 'POSITIVE', 'score': 0.9915487170219421}"
1205,"{'label': 'NEGATIVE', 'score': 0.9988517761230469}"
1206,"{'label': 'POSITIVE', 'score': 0.9975565671920776}"
1207,"{'label': 'NEGATIVE', 'score': 0.9987332224845886}"
1208,"{'label': 'NEGATIVE', 'score': 0.9976735711097717}"
1209,"{'label': 'NEGATIVE', 'score': 0.9875457882881165}"
1210,"{'label': 'NEGATIVE', 'score': 0.9989859461784363}"
1211,"{'label': 'NEGATIVE', 'score': 0.9985414743423462}"
1212,"{'label': 'NEGATIVE', 'score': 0.9872190952301025}"
1213,"{'label': 'POSITIVE', 'score': 0.9453863501548767}"
1214,"{'label': 'NEGATIVE', 'score': 0.9715045690536499}"
1215,"{'label': 'NEGATIVE', 'score': 0.9960483908653259}"
1216,"{'label': 'NEGATIVE', 'score': 0.9917205572128296}"
1217,"{'label': 'NEGATIVE', 'score': 0.9982544779777527}"
1218,"{'label': 'POSITIVE', 'score': 0.5675306916236877}"
1219,"{'label': 'NEGATIVE', 'score': 0.9717088341712952}"
1220,"{'label': 'NEGATIVE', 'score': 0.7802814841270447}"
1221,"{'label': 'NEGATIVE', 'score': 0.9980311989784241}"
1222,"{'label': 'NEGATIVE', 'score': 0.9977662563323975}"
1223,"{'label': 'POSITIVE', 'score': 0.9998552799224854}"
1224,"{'label': 'NEGATIVE', 'score': 0.9978717565536499}"
1225,"{'label': 'NEGATIVE', 'score': 0.9995754361152649}"
1226,"{'label': 'NEGATIVE', 'score': 0.9802111983299255}"
1227,"{'label': 'NEGATIVE', 'score': 0.9925944209098816}"
1228,"{'label': 'NEGATIVE', 'score': 0.999071478843689}"
1229,"{'label': 'POSITIVE', 'score': 0.6515452861785889}"
1230,"{'label': 'NEGATIVE', 'score': 0.9878536462783813}"
1231,"{'label': 'POSITIVE', 'score': 0.9998753070831299}"
1232,"{'label': 'NEGATIVE', 'score': 0.9752621054649353}"
1233,"{'label': 'POSITIVE', 'score': 0.9950677156448364}"
1234,"{'label': 'POSITIVE', 'score': 0.9952090382575989}"
1235,"{'label': 'NEGATIVE', 'score': 0.9991170763969421}"
1236,"{'label': 'NEGATIVE', 'score': 0.9947598576545715}"
1237,"{'label': 'POSITIVE', 'score': 0.9998517036437988}"
1238,"{'label': 'POSITIVE', 'score': 0.9217221736907959}"
1239,"{'label': 'NEGATIVE', 'score': 0.9945593476295471}"
1240,"{'label': 'NEGATIVE', 'score': 0.994860827922821}"
1241,"{'label': 'POSITIVE', 'score': 0.9954707622528076}"
1242,"{'label': 'NEGATIVE', 'score': 0.9996699094772339}"
1243,"{'label': 'POSITIVE', 'score': 0.9860784411430359}"
1244,"{'label': 'NEGATIVE', 'score': 0.9946314096450806}"
1245,"{'label': 'POSITIVE', 'score': 0.992170512676239}"
1246,"{'label': 'POSITIVE', 'score': 0.9996185302734375}"
1247,"{'label': 'NEGATIVE', 'score': 0.9865857362747192}"
1248,"{'label': 'POSITIVE', 'score': 0.9996100068092346}"
1249,"{'label': 'NEGATIVE', 'score': 0.9980505704879761}"
1250,"{'label': 'NEGATIVE', 'score': 0.9950082302093506}"
1251,"{'label': 'POSITIVE', 'score': 0.9989991784095764}"
1252,"{'label': 'NEGATIVE', 'score': 0.999152660369873}"
1253,"{'label': 'POSITIVE', 'score': 0.999835729598999}"
1254,"{'label': 'NEGATIVE', 'score': 0.9988909363746643}"
1255,"{'label': 'NEGATIVE', 'score': 0.9991063475608826}"
1256,"{'label': 'POSITIVE', 'score': 0.9997561573982239}"
1257,"{'label': 'POSITIVE', 'score': 0.999835729598999}"
1258,"{'label': 'NEGATIVE', 'score': 0.9945025444030762}"
1259,"{'label': 'NEGATIVE', 'score': 0.9859683513641357}"
1260,"{'label': 'NEGATIVE', 'score': 0.9911066889762878}"
1261,"{'label': 'NEGATIVE', 'score': 0.9938376545906067}"
1262,"{'label': 'NEGATIVE', 'score': 0.9988521337509155}"
1263,"{'label': 'NEGATIVE', 'score': 0.9969066977500916}"
1264,"{'label': 'NEGATIVE', 'score': 0.9963434338569641}"
1265,"{'label': 'POSITIVE', 'score': 0.8848488926887512}"
1266,"{'label': 'NEGATIVE', 'score': 0.9989607334136963}"
1267,"{'label': 'POSITIVE', 'score': 0.9998630285263062}"
1268,"{'label': 'POSITIVE', 'score': 0.9924389123916626}"
1269,"{'label': 'NEGATIVE', 'score': 0.5903484225273132}"
1270,"{'label': 'NEGATIVE', 'score': 0.9612486958503723}"
1271,"{'label': 'NEGATIVE', 'score': 0.9997400641441345}"
1272,"{'label': 'NEGATIVE', 'score': 0.9682313203811646}"
1273,"{'label': 'NEGATIVE', 'score': 0.9844741821289062}"
1274,"{'label': 'NEGATIVE', 'score': 0.9995796084403992}"
1275,"{'label': 'NEGATIVE', 'score': 0.9824537634849548}"
1276,"{'label': 'NEGATIVE', 'score': 0.9975033402442932}"
1277,"{'label': 'NEGATIVE', 'score': 0.6462392210960388}"
1278,"{'label': 'POSITIVE', 'score': 0.9795578122138977}"
1279,"{'label': 'POSITIVE', 'score': 0.999032735824585}"
1280,"{'label': 'NEGATIVE', 'score': 0.9598932862281799}"
1281,"{'label': 'POSITIVE', 'score': 0.9998313188552856}"
1282,"{'label': 'NEGATIVE', 'score': 0.9455452561378479}"
1283,"{'label': 'NEGATIVE', 'score': 0.9989023208618164}"
1284,"{'label': 'POSITIVE', 'score': 0.9996780157089233}"
1285,"{'label': 'POSITIVE', 'score': 0.9998082518577576}"
1286,"{'label': 'NEGATIVE', 'score': 0.9964718818664551}"
1287,"{'label': 'POSITIVE', 'score': 0.999742329120636}"
1288,"{'label': 'POSITIVE', 'score': 0.9998045563697815}"
1289,"{'label': 'POSITIVE', 'score': 0.9997926354408264}"
1290,"{'label': 'NEGATIVE', 'score': 0.9958910942077637}"
1291,"{'label': 'NEGATIVE', 'score': 0.9995371103286743}"
1292,"{'label': 'POSITIVE', 'score': 0.9876421689987183}"
1293,"{'label': 'POSITIVE', 'score': 0.9975069165229797}"
1294,"{'label': 'NEGATIVE', 'score': 0.9992215633392334}"
1295,"{'label': 'NEGATIVE', 'score': 0.5659303665161133}"
1296,"{'label': 'NEGATIVE', 'score': 0.9958898425102234}"
1297,"{'label': 'POSITIVE', 'score': 0.9827411770820618}"
1298,"{'label': 'POSITIVE', 'score': 0.9990092515945435}"
1299,"{'label': 'POSITIVE', 'score': 0.9982314705848694}"
1300,"{'label': 'NEGATIVE', 'score': 0.989471435546875}"
1301,"{'label': 'NEGATIVE', 'score': 0.9985167384147644}"
1302,"{'label': 'NEGATIVE', 'score': 0.9569733142852783}"
1303,"{'label': 'NEGATIVE', 'score': 0.9901582598686218}"
1304,"{'label': 'NEGATIVE', 'score': 0.7472538352012634}"
1305,"{'label': 'NEGATIVE', 'score': 0.9805712699890137}"
1306,"{'label': 'NEGATIVE', 'score': 0.99403315782547}"
1307,"{'label': 'NEGATIVE', 'score': 0.980819046497345}"
1308,"{'label': 'NEGATIVE', 'score': 0.9787236452102661}"
1309,"{'label': 'POSITIVE', 'score': 0.9924389123916626}"
1310,"{'label': 'POSITIVE', 'score': 0.7131032347679138}"
1311,"{'label': 'POSITIVE', 'score': 0.9942290782928467}"
1312,"{'label': 'POSITIVE', 'score': 0.9952070116996765}"
1313,"{'label': 'POSITIVE', 'score': 0.9728056192398071}"
1314,"{'label': 'POSITIVE', 'score': 0.9924389123916626}"
1315,"{'label': 'NEGATIVE', 'score': 0.9889242053031921}"
1316,"{'label': 'POSITIVE', 'score': 0.9915487170219421}"
1317,"{'label': 'POSITIVE', 'score': 0.5774655938148499}"
1318,"{'label': 'NEGATIVE', 'score': 0.9991056323051453}"
1319,"{'label': 'NEGATIVE', 'score': 0.991100013256073}"
1320,"{'label': 'NEGATIVE', 'score': 0.6489806175231934}"
1321,"{'label': 'POSITIVE', 'score': 0.9998687505722046}"
1322,"{'label': 'NEGATIVE', 'score': 0.988368570804596}"
1323,"{'label': 'NEGATIVE', 'score': 0.9811674356460571}"
1324,"{'label': 'NEGATIVE', 'score': 0.9329394102096558}"
1325,"{'label': 'NEGATIVE', 'score': 0.9976598024368286}"
1326,"{'label': 'POSITIVE', 'score': 0.7409953474998474}"
1327,"{'label': 'NEGATIVE', 'score': 0.9880310893058777}"
1328,"{'label': 'NEGATIVE', 'score': 0.995546817779541}"
1329,"{'label': 'NEGATIVE', 'score': 0.9993085861206055}"
1330,"{'label': 'POSITIVE', 'score': 0.9987585544586182}"
1331,"{'label': 'NEGATIVE', 'score': 0.9679144620895386}"
1332,"{'label': 'NEGATIVE', 'score': 0.9796445369720459}"
1333,"{'label': 'NEGATIVE', 'score': 0.9689305424690247}"
1334,"{'label': 'NEGATIVE', 'score': 0.9776921272277832}"
1335,"{'label': 'NEGATIVE', 'score': 0.9952957034111023}"
1336,"{'label': 'POSITIVE', 'score': 0.8750944137573242}"
1337,"{'label': 'POSITIVE', 'score': 0.9997422099113464}"
1338,"{'label': 'NEGATIVE', 'score': 0.9943708777427673}"
1339,"{'label': 'NEGATIVE', 'score': 0.9994801878929138}"
1340,"{'label': 'POSITIVE', 'score': 0.9987585544586182}"
1341,"{'label': 'POSITIVE', 'score': 0.9924389123916626}"
1342,"{'label': 'POSITIVE', 'score': 0.9696781635284424}"
1343,"{'label': 'NEGATIVE', 'score': 0.9994493126869202}"
1344,"{'label': 'NEGATIVE', 'score': 0.9973214268684387}"
1345,"{'label': 'NEGATIVE', 'score': 0.9993786811828613}"
1346,"{'label': 'NEGATIVE', 'score': 0.9992640614509583}"
1347,"{'label': 'POSITIVE', 'score': 0.9915487170219421}"
1348,"{'label': 'NEGATIVE', 'score': 0.9967939257621765}"
1349,"{'label': 'POSITIVE', 'score': 0.8972426056861877}"
1350,"{'label': 'POSITIVE', 'score': 0.8983608484268188}"
1351,"{'label': 'NEGATIVE', 'score': 0.9986263513565063}"
1352,"{'label': 'NEGATIVE', 'score': 0.9985415935516357}"
1353,"{'label': 'NEGATIVE', 'score': 0.9994266033172607}"
